,Team,Player,Pageviews
0,Arizona Cardinals,Kyler Murray,845475.0
1,Arizona Cardinals,Clayton Tune,56850.0
2,Arizona Cardinals,Trey Benson,110208.0
3,Arizona Cardinals,Michael Carter,50197.0
4,Arizona Cardinals,James Conner,198361.0
5,Arizona Cardinals,DeeJay Dallas,37810.0
6,Arizona Cardinals,Emari Demercado,25952.0
7,Arizona Cardinals,Marvin Harrison Jr.,638737.0
8,Arizona Cardinals,Xavier Weaver,48193.0
9,Arizona Cardinals,Michael Wilson,184723.0
10,Arizona Cardinals,Isaiah Adams,20285.0
11,Arizona Cardinals,Hjalte Froholdt,29668.0
12,Arizona Cardinals,Jon Gaines II,7533.0
13,Arizona Cardinals,Paris Johnson Jr.,56109.0
14,Arizona Cardinals,Christian Jones,13545.0
15,Arizona Cardinals,Nick Leverett,18496.0
16,Arizona Cardinals,Jonah Williams,63984.0
17,Arizona Cardinals,Justin Jones,18469.0
18,Arizona Cardinals,Zaven Collins,39650.0
19,Arizona Cardinals,Milo Eifler,9399.0
20,Arizona Cardinals,Vi Jones,8231.0
21,Arizona Cardinals,BJ Ojulari,35308.0
22,Arizona Cardinals,Owen Pappoe,11327.0
23,Arizona Cardinals,Xavier Thomas,22953.0
24,Arizona Cardinals,Benton Whitley,7964.0
25,Arizona Cardinals,Mack Wilson,35893.0
26,Arizona Cardinals,Budda Baker,132813.0
27,Arizona Cardinals,Kei'Trel Clark,8518.0
28,Arizona Cardinals,Elijah Jones,13086.0
29,Arizona Cardinals,Max Melton,51784.0
30,Arizona Cardinals,Sean Murphy-Bunting,67346.0
31,Arizona Cardinals,Jammie Robinson,14575.0
32,Arizona Cardinals,Dadrion Taylor-Demerson,16466.0
33,Arizona Cardinals,Starling Thomas V,13291.0
34,Arizona Cardinals,Jalen Thompson,16085.0
35,Arizona Cardinals,Andre Baccellia,6299.0
36,Arizona Cardinals,Elliott Brown,
37,Arizona Cardinals,McClendon Curtis,8765.0
38,Arizona Cardinals,Ekow Boye-Doe,16528.0
39,Arizona Cardinals,Jaden Davis,10279.0
40,Arizona Cardinals,Anthony Goodlow,
41,Arizona Cardinals,Darren Hall,12841.0
42,Arizona Cardinals,Sincere Haynesworth,7755.0
43,Arizona Cardinals,Trishton Jackson,22689.0
44,Arizona Cardinals,Matthew Jones,9296.0
45,Arizona Cardinals,Zonovan Knight,20705.0
46,Arizona Cardinals,P. J. Mustipher,14315.0
47,Arizona Cardinals,Tejhaun Palmer,9949.0
48,Arizona Cardinals,Bernhard Seikovits,12710.0
49,Arizona Cardinals,Ben Stille,6846.0
50,Arizona Cardinals,Quez Watkins,63025.0
